Date,N2EX Price
18/03/2023,115.09
19/03/2023,114.02
20/03/2023,109.35
21/03/2023,101.21
22/03/2023,79.11
23/03/2023,87.58
24/03/2023,88.56
25/03/2023,85.75
26/03/2023,106.17
27/03/2023,111.94
28/03/2023,112.63
29/03/2023,107.07
30/03/2023,104.96
31/03/2023,109.70
01/04/2023,102.03
02/04/2023,110.54
03/04/2023,113.19
04/04/2023,121.24
05/04/2023,124.96
06/04/2023,115.35
07/04/2023,108.52
08/04/2023,108.58
09/04/2023,94.25
10/04/2023,69.77
11/04/2023,81.84
12/04/2023,90.89
13/04/2023,100.46
14/04/2023,117.32
15/04/2023,100.00
16/04/2023,100.40
17/04/2023,109.24
18/04/2023,101.74
19/04/2023,98.99
20/04/2023,103.35
21/04/2023,100.82
22/04/2023,98.50
23/04/2023,103.29
24/04/2023,95.33
25/04/2023,103.05
26/04/2023,114.14
27/04/2023,97.38
28/04/2023,93.90
29/04/2023,96.50
30/04/2023,91.17
01/05/2023,86.98
02/05/2023,98.26
03/05/2023,92.60
04/05/2023,83.33
05/05/2023,87.09
06/05/2023,87.29
07/05/2023,86.36
08/05/2023,89.00
09/05/2023,93.50
10/05/2023,92.39
11/05/2023,98.08
12/05/2023,86.50
13/05/2023,83.96
14/05/2023,81.95
15/05/2023,82.26
16/05/2023,83.71
17/05/2023,82.96
18/05/2023,81.00
19/05/2023,82.74
20/05/2023,75.81
21/05/2023,75.26
22/05/2023,75.29
23/05/2023,74.16
24/05/2023,74.72
25/05/2023,73.98
26/05/2023,72.52
27/05/2023,60.39
28/05/2023,64.75
29/05/2023,66.86
30/05/2023,70.70
31/05/2023,68.33
01/06/2023,68.54
02/06/2023,70.50
03/06/2023,62.71
04/06/2023,60.84
05/06/2023,72.55
06/06/2023,74.53
07/06/2023,77.31
08/06/2023,69.03
09/06/2023,71.85
10/06/2023,61.49
11/06/2023,78.89
12/06/2023,92.99
13/06/2023,85.21
14/06/2023,85.00
15/06/2023,97.17
16/06/2023,107.87
17/06/2023,94.31
18/06/2023,88.60
19/06/2023,98.03
20/06/2023,103.10
21/06/2023,105.23
22/06/2023,108.24
23/06/2023,95.08
24/06/2023,83.49
25/06/2023,60.38
26/06/2023,83.68
27/06/2023,90.70
28/06/2023,96.69
29/06/2023,95.57
30/06/2023,85.83
01/07/2023,45.53
02/07/2023,8.10
03/07/2023,67.51
04/07/2023,90.00
05/07/2023,85.20
06/07/2023,89.90
07/07/2023,81.06
08/07/2023,68.71
09/07/2023,84.56
10/07/2023,90.89
11/07/2023,87.78
12/07/2023,79.03
13/07/2023,83.01
14/07/2023,72.06
15/07/2023,31.75
16/07/2023,5.93
17/07/2023,72.32
18/07/2023,89.60
19/07/2023,80.56
20/07/2023,79.76
21/07/2023,77.30
22/07/2023,79.45
23/07/2023,60.00
24/07/2023,75.42
25/07/2023,82.10
26/07/2023,83.31
27/07/2023,85.57
28/07/2023,79.32
29/07/2023,66.66
30/07/2023,35.10
31/07/2023,66.77
01/08/2023,73.91
02/08/2023,69.43
03/08/2023,59.11
04/08/2023,79.26
05/08/2023,77.62
06/08/2023,62.40
07/08/2023,71.63
08/08/2023,72.65
09/08/2023,77.44
10/08/2023,80.63
11/08/2023,81.70
12/08/2023,66.05
13/08/2023,73.08
14/08/2023,83.57
15/08/2023,83.07
16/08/2023,90.57
17/08/2023,84.52
18/08/2023,81.89
19/08/2023,51.50
20/08/2023,83.40
21/08/2023,89.29
22/08/2023,91.88
23/08/2023,113.42
24/08/2023,118.74
25/08/2023,95.66
26/08/2023,85.11
27/08/2023,85.07
28/08/2023,90.30
29/08/2023,93.11
30/08/2023,92.28
31/08/2023,89.71
01/09/2023,91.43
02/09/2023,83.45
03/09/2023,83.80
04/09/2023,87.67
05/09/2023,84.23
06/09/2023,85.78
07/09/2023,88.43
08/09/2023,90.28
09/09/2023,83.29
10/09/2023,84.80
11/09/2023,100.81
12/09/2023,95.81
13/09/2023,89.26
14/09/2023,88.78
15/09/2023,90.05
16/09/2023,82.61
17/09/2023,84.32
18/09/2023,80.67
19/09/2023,57.55
20/09/2023,53.08
21/09/2023,82.93
22/09/2023,88.57
23/09/2023,92.43
24/09/2023,46.54
25/09/2023,65.99
26/09/2023,92.30
27/09/2023,92.16
28/09/2023,62.04
29/09/2023,78.34
30/09/2023,90.01
01/10/2023,75.27
02/10/2023,94.01
03/10/2023,63.10
04/10/2023,63.15
05/10/2023,74.34
06/10/2023,59.54
07/10/2023,51.40
08/10/2023,81.04
09/10/2023,97.01
10/10/2023,83.58
11/10/2023,72.23
12/10/2023,110.35
13/10/2023,76.06
14/10/2023,33.83
15/10/2023,74.43
16/10/2023,130.50
17/10/2023,112.14
18/10/2023,64.60
19/10/2023,73.62
20/10/2023,73.30
21/10/2023,80.37
22/10/2023,92.71
23/10/2023,108.55
24/10/2023,103.00
25/10/2023,113.70
26/10/2023,110.30
27/10/2023,105.45
28/10/2023,76.38
29/10/2023,47.02
30/10/2023,92.99
31/10/2023,107.00
01/11/2023,80.21
02/11/2023,68.72
03/11/2023,69.36
04/11/2023,94.21
05/11/2023,92.56
06/11/2023,95.34
07/11/2023,86.27
08/11/2023,89.73
09/11/2023,96.63
10/11/2023,96.99
11/11/2023,93.03
12/11/2023,95.84
13/11/2023,82.34
14/11/2023,82.92
15/11/2023,84.98
16/11/2023,112.05
17/11/2023,110.45
18/11/2023,86.00
19/11/2023,64.66
20/11/2023,95.24
